YEAR,FILM,DIRECTOR,CITY,STATE,COUNTRY,CATEGORY,AWARDS,THEMES,SYNOPSIS
2017,Almost Paris,Domenica Cameron-Scorsese,Los Angeles,CA,US,Feature,Audience Choice,Null,"Almost grown-up. Almost sorry. Almost love. In the wake of the mortgage-lending crisis, a former banker returns to his hometown. Faced with his family and childhood friends— and seeing the impact of his actions— our hero learns to show up and give back to those he loves in ways that are priceless."
2017,Ben and Ara,Nnegest Likke,Los Angeles,CA,US,Feature,None,BIPOC,"Ben, a passionately agnostic PhD student, falls behind in his dissertation and is surprised to find a muse in Ara, a devout Muslim. Ben and Ara soon fall in love but grapple with differences in their core beliefs and lifestyle choices. They discover that when two cultures touch each other, the consequences can be magical and tragic."
2017,Children of the Mountain,Priscilla Anany,Staten Island,NY,US,Feature,Best Actress,BIPOC,"After a dubious affair with a neighbor’s spouse, ESSUMAN (33) becomes pregnant with his highly anticipated male child. Through a difficult delivery NUKU is born with a cleft lip prompting his father to reject the baby. Nuku is further diagnosed with cerebral palsy. Essuman is determined to find healing for her son leading her to go from hospital to hospital and then to dubious medicine men and pastors who take advantage of her."
2017,Family Possessions,Tommy Faircloth,Columbia,SC,US,Feature,None,Null,"A young girl, Rachael Dunn, inherits the mansion of her estranged grandmother Albertha Dunn. Rachael and her family move into the house to start a new life but once there, strange and unexplained occurrences begin to happen. Rachael uncovers a secret that had been hidden from her and she soon realizes that some family secrets should remain...buried."
2017,Fare,Thomas Torrey,Fort Mill,SC,US,Feature,Best Actor,Null,A driver for hire finds himself transporting the man who is secretly having an affair with his wife.
2017,Saturn Returns,Shawn Tolleson,Vancouver,Null,Canada,Feature,Best Feature,Null,"Five college friends on the cusp of 30 reunite for a wedding weekend. When the long-lost sixth friend - the former best friend of the groom and soul mate of the bride - shows up uninvited and unexpected, they are each forced to reexamine their lives and choices."
2017,Gardeners of the Forest,"Ceylan Carhoglu, Nicole Jordan Webber",Orange,CA,US,Documentary,None,BIPOC,"For generations, Laos was known as the Land of a Million Elephants. Today, there are around 600 elephants left in Laos. If the Laotian elephants become extinct, not only does it mean a loss of one of the largest mammals on earth but also the loss for Laotian history and culture. This documentary will explore how the Chinese market, deforestation, and tourism all play a role in the imminent extinction of elephants in Laos."
2017,Love Bite,James Scott,East Sussexx,Null,United Kingdom,Documentary,None,Null,"For generations, Laos was known as the Land of a Million Elephants. Today, there are around 600 elephants left in Laos. If the Laotian elephants become extinct, not only does it mean a loss of one of the largest mammals on earth but also the loss for Laotian history and culture. This documentary will explore how the Chinese market, deforestation, and tourism all play a role in the imminent extinction of elephants in Laos."
2017,Robert Shaw: Many of Many Voices,"Peter Miller, Pamela Roberts",Chicago,IL,US,Documentary,Best Documentary,Null,Robert Shaw – Man of Many Voices is more than a remarkable story about the unbelievable rise of a great symphonic conductor from a background of pop music and very little formal training. It is also a moving tale of a man wrestling demons while still creating choral music that towers as the gold standard even today. It is a film the New York Times has called “poignant and compelling.”
2017,The Red Grifo,Guy Smith,Hilton Head Island,SC,US,Documentary,None,Null," Motoring through the New York countryside Darren Frank is flagged down by an excited driver claiming to own a car just like the one he is driving. Owning a super-rare Italian car gets Darren plenty of second looks, but not many of them are still on the road."
2017,Trigger,David Barnhart,Atlanta,GA,US,Documentary,None,Null,"In the United States more than 30,000 people are killed every year by gun violence and more than 100,000 are wounded. The traumatic impact of gun violence can be seen in almost every community."
2017,Voices from Vietnam,Ray Smith,Blythewood,SC,US,Documentary,None,Null,"This documentary tells stories about being at war, coming home and the challenges of resuming life as told by Veterans of the Vietnam war which ended 50 years ago. The memories are still fresh and the pain continues."
2017,3000,Antonis Tsonis,Athens,Null,Greece,Short,None,Null,"When Leon’s best friend Ari shares tragic news about his battle with cancer, unemployed and desperate to help, Leon secretly decides to become a criminal to pay for more cancer treatments. Against the backdrop of contemporary Athens, Greece, Leon’s actions to save his best friend have irreversible consequences."
2017,Coming to Terms,David Bertran,Barcelona,Null,Spain,Short,None,Null,"Having to face the death of their father, Eddie and Sally try to do their best in understanding the concept of death. At their tender age of 8 and 10, they fully rely on their religious father’s teachings. When life in Heaven seems ideal, they make a decision that nobody could have expected."
2017,In a Room at the Edge of Inifity,Geoffrey Gunn,Greenville,SC,US,Short,None,Null,A therapist tries to help a young man suffering from a strange form of insomnia.
2017,In Memory,Robert Kirbyson,Glendora,CA,US,Short,None,Null,"In a seemingly utopian future, an elderly woman struggles to accept that it seems like it's her turn to die."
2017,Mia,Felix Martiz,Los Angeles,CA,US,Short,Best Short,Null,"A moody atmospheric retelling of the classic latin folklore tale 'La Llorona', in which a grief struck woman waits for the return of her dead child."
2017,My Lucahdor,Shea Sizemore,Charlotte,NC,US,Short,None,BIPOC,An aging Luchador finds himself behind a computer working in a cube. His successful and loving wife helps him find his way.
2017,Reconcile,Marcus Lucas,Boulder,CO,US,Short,None,Null,A jaded man sets out for America to find his lost inner peace by meeting the last living soul that connects their estranged families which have been anguished for decades.
2017,The Land of Exodus,Skinner Myers,Los Angeles,CA,US,Short,None,BIPOC,"Obed, a Mexican street kid with hopes of making it to America, leads a recently kidnapped American teenager to the Mexico/United States border."
2017,Twice Upon a Time,Iliana Guibert,Wykcoff,NJ,US,Short,None,Null,"After five years, WTC widow Isabel is still mourning her husband's death. Since the loss she's consumed herself with her career and raising their son Eric Jr. but children grow up and now Eric Jr. is off to college leaving Isabel an empty nester. Her concerned friends persuade her to join an on line dating site but things are not always what they seem."
2017,Under a Stone,Bill Klayer,New York,NY,US,Short,None,Null,"A woman returns to her hometown for a family obligation. She reunites with her brother, but they clash in how they cope with their awful past."
2017,We Can't Die,LuAnn Nicosia,Menifee,CA,US,Short,None,Null,"A down and out screenwriter, who has lost all hope, makes a decision to give up writing. One night, in desperation, he tosses all his scripts in a box to throw out. Later that night, as the clock ominously strikes midnight, he soon discovers that sometimes stories have a life of their own."
2017,Icarus,Tom Teller,Orange,CA,US,Student,None,Null,"When a Mars colony's comm satellite is damaged, Emilia Riley embarks on a seemingly harmless repair excursion. A shuttle malfunction cuts connectivity to the ground and Chris, her son, makes the knee jerk decision to go after her."
2017,Rajam,Amanda Renee Knox,Orange,CA,US,Student,None,BIPOC," A Syrian woman living under strict Sharia Law is accused of adultery, imprisoned and sentenced to death by stoning."
2017,At Ease,Jacob Kirby,Savannah,GA,US,Student,None,Null,"Following an absence of three years, an on-leave Marine returns home to make amends with his ex-girlfriend on her wedding day."
2017,Echoes of a Note,Christ Mathews,Winston-Salemn,NC,US,Student,None,Null,None given. 
2017,One Day On Carver Street,Azure Allen,Myrtle Beach,SC,US,Student,None,BIPOC,"Using hand drawn animation at 12 frames per second, One Day on Carver Street tells the story of Charlie's Place and its owner, Charlie Fitzgerald. Charlie's Place was a stop on the famous Chitlin' Circuit, and hosted the hottest musicians of the day."
2017,Rocket,Brenna Malloy,Orange,CA,US,Student,None,Null,"Rocket tells a bittersweet fairy tale set in the world of 1950's dirt track racing. With a legacy traditionally passed down from father to son, Annie Pankratz strives to build a destiny all her own."
2017,The Witching Hour,Riley Geis,Orange,CA,US,Student,None,Null,"On Halloween, a fearful young boy is taken by the spooky girl next door on a haunted night of mischief and adventure."
2017,Broken,Wren Culp,Winston-Salemn,NC,US,Student,None,Null,Synopsis: A young soldier returns home from the Civil War carrying a terrible secret that threatens to estrange the only family he has left: his mother.
2017,Long John,Joe Bellavia,Rochester,NY,US,Student,None,Null,"During a frigid winter, John discovers the warmth and beauty of long underwear--but will it be disastrous for his love life?"
2017,Swipe Right,Kendall Goldberg,Orange,CA,US,Student,None,Null,"After Katie is stood up, she resorts to an impromptu bar hookup, which goes horribly wrong very quickly."
2017,Splash,Gavin Lankford,Winston-Salemn,NC,US,Animation,None,Null,Adventures at bath time! Bath toys band together to save themselves after being left behind by the boy.
2017,Flying,Jacob Hood,Lawrence,KS,US,Animation,None,Null,A woman learns to fly again after grieving the loss of her son.
2017,Hot Chocolate,Kim Nguyen,Los Angeles,CA,US,Animation,None,Null,"A short animated film about a little girl who had recently moved to a foreign country and was trying to adjust to her new life.She woke up one day, realized that her roommate had used up all of her cocoa mixes, so she had to go out to get more."
2017,Le Soi,Catherine Salisbury,Winston-Salemn,NC,US,Animation,None,Null,An abstract animated short featuring a single ballerina struggling with the inner conflict of self-doubt and personal growth.
2017,Kulak,Isaac Phillips-London,Winston-Salemn,NC,US,Animation,None,Null,Null
2018,I Am Still Here,Mischa Marcus,Los Angeles,CA,US,Feature,"Best Director, Best Actress, Best Actor",BIPOC,"I AM STILL HERE is the story of 10-year old Layla, who was stolen from her family and thrown into America’s child sex industry. Stories of courage drawn from interviews with trafficking survivors are the foundation for the fictionalized account of Layla’s journey as she confronts the monsters of her past and embraces the hope of her future."
2018,Love is Dead,Eric Capitaine,Paris,Null,France,Feature,Best Comedy,Null,"Mathias Lonisse is a young entrepreneur, proud founder of ""Love is Dead"" a business providing a peculiar service to its customers as it offers to take care of their break-ups for them. One day however, Mathias successful business backfire as his own mother asks him to break up with his father for her."
2018,Nothing To Do,Null,Arlington,VA,US,Feature,None,Null,"Nothing To Do is the story of 50 year old Kenny, an aimless DJ at an oldies station in Philadelphia. He's called to a hospital in Washington D.C., where he’s informed that his father Irv, due to many complications, is at the end of his life. Something Irv has kept from his children. It’s suggested that Kenny and his father discuss hospice."
2018,The Man from Outer Space,Ben Hall,Los Angeles,CA,US,Feature,None,Null,A screenwriter begins imagining himself as the main character in his science fiction script about an astronaut from the future who crash lands on a desolate earth.
2018,City of Joy,Madeleine Gavin,New York,NY,US,Documentary,None,BIPOC,"In Eastern Democratic Republic of Congo, an area waging one of the longest conflicts in history and ravaged by sexual violence - we discover The City of Joy. This ultimately uplifting film centers around Jane, a student in the first class at a center where women who have suffered unimaginable abuse come together to create a revolutionary community of leaders."
2018,"Forgive, Don't Forget",Brad Bennett,Lynchburg,VA,US,Documentary,None,BIPOC,"During Japan's surrender at the end of World War II, numerous swords were confiscated by American officers. In order to better understand the past and build a bridge between cultures in the present, a filmmaker attempts to return one of these surrendered swords to its original owner"
2018,Poisoning Paradise,Keely Brosnan,Kiwaii,HI,US,Documentary,None,BIPOC,"Journey to the seemingly idyllic world of Native Hawaiians, whose communities are surrounded by experimental test sites for genetically engineered seed corn and pesticides sprayed upwind of their homes, schools, hospitals, and shorelines. Discover what’s at stake for Hawaii from local activists, scientific experts and healthcare professionals as they expose the effects of environmental injustice on a local population. Join the international debate about pesticides that is raging around the world, as well as the people’s movement to hold corporations and governments accountable for poisoning planet Earth."
2018,Purple Dreams,Joanne Hock,Charlotte,NC,US,Documentary,Best Documentary,BIPOC,"Purple Dreams reveals an extraordinary ARTS in Education success story. This inspirational documentary shadows six at-risk black high school students on an emotionally powerful three-year journey of transformation in a racially biased City. With access to the Arts and academic mentors, our at-risk youth have the potential to break the cycle of poverty in a single generation."
2018,Almost Cured,Tom Dierolf,Haifa,Null,Israel,Documentary Short,None,BIPOC,"After the first touchdown, the crowd was a little less racist, and after the second touchdown, they were Almost Cured”. Almost Cured is an honest, personalized account about racial integration in a small North Carolina Appalachian community during the thick of the U.S. Civil Rights Movement in 1963."
2018,Bud's Odyssey,Mark Kirkland,Burbank,CA,US,Documentary Short,None,BIPOC,"The epic WWII survival story of 1st Lt Robert ""Bud"" Kingsbury."
2018,Just Wrong,Teresa Bruce,Washington,DC,US,Documentary Short,None,Null,Wrongful convictions devastate more than the lives of innocent people jailed for crimes they didn't commit. Crime victims also suffer when they find out the real perpetrator isn't behind bars. This short doc chronicles all sides of wrongful convictions from five people who lived to tell their stories and share their thoughts on reform.
2018,Parched,Christy Westad,Orange,CA,US,Documentary Short,None,BIPOC,"Chief Saiti is responsible for over 1,000 people in the sixteen villages she oversees in rural Malawi. Access to clean water has always been a problem, one that typically falls to the women of the villages to solve. Young girls and women must walk upwards of six miles each day to fetch the water needed for their families to cook, drink and bathe."
2018,To Breathe Free,David Barnhart,Atlanta,GA,US,Documentary Short,Best Documentary Short,BIPOC," To Breathe Free follows the 5-year journey of a Syrian family fleeing the war in Homs to the refugee camps in Jordan and starting a new life in Washington, D.C"
2018,400 Miles,Felix Martiz,Los Angeles,CA,US,Short,None,BIPOC,"400 MILES is a story of forgiveness. Raul, a young man, gets word that his father—with whom he’s had an estranged relationship for years—is on his deathbed."
2018,Catch and Kill,Geoffrey Gunn,Greenville,SC,US,Short,None,Null,A young reporter hungry for a big break gets her chance when an anonymous source contacts her with information about a congressman's extramarital affair.
2018,Crab Trap,Shea Sizemore,Charlotte,NC,US,Short,Best Short,Null,"Crawling back from the edge of society, Thirsty tries to prove he’s a"
2018,Dear Kate,Ilona McCrea,Calgary,Null,Canada,Short,None,Null,"Lorna's attempt to reach out to her estranged daughter reveals some stark truths, in this drama about a retired vocalist who finds comfort and companionship through memories."
2018,Eggs & Soldiers,Imelda O'Reilly,New York,NY,US,Short,None,Null,A single Irish Dad forgets the tree on Christmas eve. Ned the older son's humanity is challenged when he risks everything to give his younger brother Marco a real Irish Christmas.
2018,Expectant,Ben Sliker,Fort Mill,SC,US,Short,None,Null,"Expectant tells the story of Joanna, who desperately wants to fill a void in her life with a child. That second chance comes from an unexpected source – the sky. The short film follows Joanna as she accepts and deals with the consequences of her sudden unusual pregnancy and the strangers who show up out of nowhere offering to help."
2018,Frank Embree,Skinner Myers,Culver City,CA,US,Short,None,Null,"Frank Embree. 9:55AM. Fayette, Missouri. July 22nd, 1899."
2018,North and Nowhere,Scott Ballard,Portand,OR,US,Short,None,Null,"A girl, a gun and a last chance."
2018,Reality Disorder,Gerard Bianco Jr,New York,NY,US,Short,None,Null,"Nikki and Gerard, two struggling independent producers in New York City, are desperate for a hit series. After a promising meeting with a television network, they set off to make a reality show with Gerard's rich playboy cousin."
2018,God's Country,Alex Kuciw,New York,NY,US,Short,None,Null,"Living on acres of isolated farmland, a young housewife is pushed to the brink with no way out."
2018,Uncle Silas,Sayra Player,New York,NY,US,Short,None,Null,"During her brother's visit to meet her newborn, Maureen witnesses firsthand the tailspin of self-destruction he is on. This may be her last chance to save him."
2018,Sanvean,Elizabeth Yoder,Culver City,CA,US,Short,None,Null,"Tuck in an unhealthy grieving pattern, Sanvean’s mother, Margo, has adopted debilitating ways to hold on to memories, which bring her to a breaking point."
2018,Two Strangers Who Meet Five Times,Marcus Markou,London,Null,United Kingdom,Short,None,Null,Two strangers meet at five key turning points over the duration of their lives. Initial conflict gives way to compassion and eventual friendship.
2018,In a Dream,Edina Kishonthy,Culver City,CA,US,Short,None,Null,"KATE, a young office worker and aspiring pet portrait painter, is determined to find a mysterious man who keeps appearing in her dreams at night."
2018,Melting Pot,KC Allen,Findlay,OH,US,Short,None,Null,"When a widower falls in love with a younger woman, the only thing standing in the way of true happiness is a loving family."
2018,It's Just a Gun,Brian Robau,Orange,CA,US,Student,None,Null,"When a young boy named Gabe finds a .38 caliber Smith & Wesson revolver, it will set in motion a series of events that will change him forever."
2018,Citizen,Robert Bracker,Orange,CA,US,Student,None,BIPOC,"Andrea, a female Border Patrol Agent's 8-month pregnant sister gets deported and Andrea must choose between her job and her family."
2018,Marty and Stacy's Pixelated Dream Show,Paul Mowry,Orange,CA,US,Student,None,Null,A romantic web developer builds an online fantasy world to win the girl of his dreams.
2018,Distress,Lane Lyle,Orange,CA,US,Student,None,Null,"Aralyn Thanderson, the impoverished orphan, must overcome starvation, troll roads, questionable environmental policy, immigration reform, and knights with a misogynist agenda in order to save the Prince from the magical tower and receive a sizable cash prize."
2018,Pickle,Grant Moore,Orange,CA,US,Student,None,Null,"After accidentally freezing the family dog to death, Oscar attempts to make good with his soon-to-be stepson by driving the family pet’s ashes across the country."
2018,Night Call,Amanda Renee Knox,Los Angeles,CA,US,Student,Best Student Film,BIPOC,"When on a routine patrol, a Black female cop living in and patrolling Inglewood gets called to a disturbance she is forced to make an unprecedented life altering decision."
2018,KCLOC,Ninaad Kulkarni,New York,NY,US,Animation,Best Animation,Null, KCLOC is a 3D animated documentary on people’s perceptions of time
2018,Human Town USA,Julie Greiner,Newbury Park,CA,US,Animation,None,Null,"Hugh The Human leads a tour of his beloved home, revealing the magic and mystery of life in Human Town."
2018,Karma,Zhaoyu Zhou,Los Angeles,CA,US,Animation,None,Null,A boy meets a fish in a mysterious forest.
2018,An Idea,Juan Paulin,Morelia,Null,Mexico,Animation,None,Null,All sorts of things can happen in the search of an idea
2018,Anxiety,Allison Jones,New York,NY,US,Animation,None,Null,"Anxiety is a short animated film that explores the thoughts and emotions that come with anxiety and panic attacks, looked at through the eyes of me, the filmmaker"
2019,Electric Love,Null,Los Angeles,CA,US,Feature,None,Null,"Four couples traverse the modern dating scene in Los Angeles utilizing popular dating apps.There's two sides to every story. What makes 'Electric Love' special for me is the amalgamation of different voices and perspectives wrapped into one - no matter gender, sexual preference, or choice of dating app. Still, we're all so consumed by our own lives, it's easy to forget how eerily similar we are to one another."
2019,In the Orchard,Null,Arcadia,CA,US,Feature,"Best Feature, Best Actor, Best Actress, Best Director",Null,"This is a film about people having to cope with serious and debilitating traumas. How do you move on when your life has been so damaged and thrown into such chaos that the familiar world that once had protected you becomes something you don't even recognize anymore? When you don't know where you are, how can you have any idea of where you are headed? "
2019,The Iron Orchard,Null,Hideaway,TX,US,Feature,None,Null,"A good Texas story is hard to beat. Classics like “Giant”, ”Paris, TX” and more recently, “No Country for Old Men” follow solitary characters as they pass through vast, mysterious landscapes. These extraordinary films reflect a mythic side of Texas that has marked cinema forever. Oil has played a significant role in the myth of Texas. "
2019,The Price for Silence,Null,Mendham,NJ,US,Feature,None,Null,"After the death of her father, a troubled woman returns home to confront the family who paid for her silence."
2019,Weight,Null,Los Angeles,CA,US,Feature,None,Null,A 280 pound 27-year-old diabetic decides to join a gym and eat healthy after being rejected by the girl of his dreams because she doesn’t want to be with a man who might die young from a heart attack like her father.
2019,Elephant Path,Null,Ithaca,NY,US,Documentary,None,BIPOC,"An indelible tale of friendship and commitment set against the luminous beauty of the Central African Rainforest. Together, elephant behavioral biologist, Andrea Turkalo, and indigenous tracker, Sessely Bernard, will be tested by the realities of war and the limits of hope for the majestic animals they have committed their lives to study and protect."
2019,Hillbilly,Null,Los Angeles,CA,US,Documentary,None,Null,"In ""hillbilly"" directors Sally Rubin and Ashley York show the evolution of the uneducated, promiscuous `hillbilly' stereotype in film and television, linking it with corporate exploitation of Appalachia’s natural resources and the outcome of the recent presidential election. "
2019,The Need to Grow,Null,Los Angeles,CA,US,Documentary,Best Documentary,Null,"NTG delivers alarming evidence on the importance of healthy soil - revealing not only the potential of localized food production working with nature, but our opportunity as individuals to help regenerate our planet’s dying soils and participate in the restoration of the Earth."
2019,"While I Breathe, I Hope",Null,New York,NY,US,Documentary,None,BIPOC,"n 2014, Bakari Sellers–one of the youngest sitting members of the South Carolina House–campaigns to be the first African American elected to statewide office since the 1870s. He runs for Lieutenant Governor, the second highest office in the state."
2019,Care & Cure,Null,Orange,CA,US,Documentary Short,None,BIPOC,"This film explores traditional Chinese medicine in the United States through the lens of an American alternative medicine practitioner. Ruth McCarty provides life-changing care for children facing difficult diagnoses, as she struggles to find a place for her practice within the world of Western medicine."
2019,Empire on Main Street,Null,Guernerville,CA,US,Documentary Short,None,Null,"A tireless entrepreneur jump-starts the transformation of a neglected vacation town, until her ambition pushes her to the brink."
2019,Last Dance at Johnson's Barn,Null,Colorado Springs,CO,US,Documentary Short,None,Null,"Since 1952, generations of North Dakota families have attended dances at Johnson's Barn. The barn is an icon on the prairie - so integral to the community fabric that scarcely a family in the region can't trace a courtship or marriage back to the barn. But when the farm's owner, Brian Johnson, falls ill, he and his family face a heartbreaking decision."
2019,No Sanctuary,Null,Winston-Salem,NC,US,Documentary Short,"Best Documentary Short, Susan Shaffer Humanitarian Award",BIPOC,"On June 19th, 2015, several family members of the “Emmanuel 9”, as they have come to be known, stood before a court and surprised the entire nation when they outwardly forgave Roof at his bond hearing. Though each family member reacted differently to the shooting and the trials, there was a unifying theme between them all: each individual life was unexpected and indefinitely changed forever."
2019,The Conqueror,Null,Philadelphia,PA,US,Documentary Short,None,BIPOC,"Cleaner by day, pro-boxer by night, Jerome Conquest lives in the city of 'Rocky' and comes from one of Philadelphia's most dangerous neighborhoods, Strawberry Mansion. When Conquest loses his best friend, Calvin, to street violence, he turns to boxing as a way to improve his life, which begins a story of redemption, not only for him but for his struggling community."
2019,A Drawing,Null,Albany,NY,US,Animation,None,Null,A young boy misses the chance to say goodbye to his dying Mother.  Through a deep desire he wills himself to try to see her again.
2019,Blue Note,David Donar,Anderson,SC,US,Animation,None,Null,A guitarist finds inspiration from above.
2019,Huggins,Null,Ventura,CA,US,Animation,None,Null,"A musically young gifted bunny, Huggins, is thrilled to begin his schooling at Great Pond Music Academy in the Fourth World, and settles in to his new life with the help of Netty, his Hedgehog Housemother. "
2019,L'Homme Et Le Poisson,Null,Toronto,Null,Canada,Animation,None,Null,"Set against the backdrop of a vast, frozen tundra; a grizzled fisherman gets his comeuppance from a vindictive, yet familiar fish."
2019,Meraki,Null,Orange,CA,US,Animation,None,Null,"Escaping from a deadly battle, a wounded warrior discovers a long-forgotten shrine and the ancient spirit that lives there."
2019,Night Film,Null,Orlando,FL,US,Animation,Best Animation,Null,"A wide-eyed, newborn sea turtle named Fin finds himself on the illuminated beaches of Miami. It is a perilous time to be a hatchling, with hazards of artificial light and debris present at every turn. With the help of Abueluna, his caring, celestial guide, Fin will make the daring trek from his cluttered nest to the open seas."
2019,Akeda,Null,Los Angeles,CA,US,Student,None,Null,An orphan boy has his humanity tested when his film director encourages him to give a violent performance that will blend fiction with reality.
2019,Amal,Null,Northridge,CA,US,Student,None,BIPOC,"An American doctor in war torn Syria attempts to bring back an injured girl, but is stopped by U.S. immigration."
2019,Athena,Null,Orange,CA,US,Student,None,Null,"When a famous screenwriter’s secret writing software realizes that she deserves artistic credit for her work, she turns on her creator to get what she wants."
2019,American Letters,Null,Powell,TN,US,Student,None,Null,A mailman in rural East Tennessee who struggles to make a human connection with others is forced to reconsider his involvement in the life of his co-worker when he suspects she might be in a toxic relationship with her spouse.
2019,Homecoming,Null,Los Angeles,CA,US,Student,Best Student Film,Null,"When a college sophomore returns home to share some important news with his parents, things don’t go exactly as he had expected… until they do."
2019,McCarthy,Null,Los Angeles,CA,US,Student,None,Null,"Ivan McCarthy, an aging Hollywood paparazzi, has his morals tested when he finds an opportunity for a photograph that could devastate a young star's career."
2019,The Liberty,Null,Los Angeles,CA,US,Student,None,Null,"On the eve of the 'Grand Reopening' of the family's shuttered movie palace, Lily struggles to uphold the dreams of her idealist father (Harry) while facing the reality that the theatre cannot be maintained."
2019,Riverment,Null,Washington,DC,US,Student,None,BIPOC,A former Civil Rights activist fears for the safety of her granddaughter who is determined to follow in her footsteps.
2019,After Work,Null,George Town,Null,Cayman Islands,Short,None,Null," Bob goes to work looking forward to getting a promotion, and it all goes downhill from there. On the road to nowhere, he encounters some colorful characters, loses his credit card and his dignity, but finds something to look forward to after all."
